Drug_A,Drug_B,Level
Caspofungin,Mecamylamine,No Interaction
Rofecoxib,Tolbutamide,Moderate
Ferumoxides,Tiotropium,No Interaction
Itraconazole,Mezlocillin,No Interaction
Oxycodone,Gadoversetamide,Unknown
Paclitaxel,Deferiprone,Major
Edrophonium,Fingolimod,Moderate
Apraclonidine,Cisatracurium,No Interaction
Escitalopram,Ioflupane I-123,Moderate
Deferiprone,Ferrous fumarate,Moderate
Dofetilide,Tolevamer,Major
Phenytoin,Ethanol,Moderate
Guanabenz,Ethanol,Moderate
Aluminum hydroxide,Aminocaproic acid,No Interaction
Enoxacin,Interferon alfa-2b,No Interaction
Brimonidine (topical),Quinidine,No Interaction
Insulin human (isophane),Procarbazine,No Interaction
Calcium acetate,Demeclocycline,Moderate
Nadolol,Procyclidine,No Interaction
Flecainide,Tositumomab,No Interaction
Decitabine,Rubella virus vaccine,No Interaction
Carteolol (ophthalmic),Scopolamine (ophthalmic),No Interaction
Prednisolone,Gemifloxacin,Major
Abacavir,Fostamatinib,No Interaction
Diflunisal,Methimazole,No Interaction
Insulin lispro,Tolbutamide,Moderate
Artesunate,Sonidegib,No Interaction
Naloxegol,Probucol,No Interaction
Amphotericin B (lipid complex),Rosiglitazone,No Interaction
Tiludronic acid,Tetraferric tricitrate decahydrate,Moderate
Rolapitant,Trimethaphan,No Interaction
Benzylpenicillin,Larotrectinib,No Interaction
Vinorelbine,Leucovorin,Unknown
Etodolac,Nelarabine,No Interaction
Methylnaltrexone,Sunitinib,No Interaction
Dalfampridine,Zileuton,No Interaction
Dexrazoxane,Yellow Fever Vaccine,Major
Tositumomab (I-131),Strontium chloride Sr-89,Moderate
Mexiletine,Iohexol,Major
Kava,Pyrazinamide,No Interaction
Doxercalciferol,Loteprednol (ophthalmic),No Interaction
Amyl Nitrite,Tetrabenazine,Moderate
Doxorubicin,Iodine (topical),No Interaction
Chloroquine,Methylene blue,Minor
Mefloquine,Deferasirox,Moderate
Amikacin,Oxandrolone,No Interaction
Flurazepam,Cobicistat,Moderate
Coenzyme M,Ulobetasol (topical),No Interaction
Ezogabine,Tofacitinib,No Interaction
Digoxin Immune Fab (Ovine),Disopyramide,Moderate
Amitriptyline,Brexucabtagene autoleucel,No Interaction
Chloroprocaine,Valaciclovir,No Interaction
Heparin,Tolbutamide,Moderate
Clostridium tetani toxoid antigen (formaldehyde inactivated),Sugammadex,No Interaction
Sermorelin,Insulin glargine,Moderate
Bumetanide,Ivermectin,No Interaction
Diazepam,Flumazenil,Moderate
Indacaterol,Cobicistat,Minor
Cyclosporine,Istradefylline,No Interaction
Sotalol,Magnesium carbonate,Minor
Deserpidine,Mycophenolic acid,No Interaction
Fluticasone (nasal),Fluvastatin,No Interaction
Atenolol,Ioxilan,Moderate
Fluorouracil,Ibandronate,No Interaction
Ethanol,Lurasidone,Moderate
Nimodipine,Gadopentetic acid,Moderate
Magnesium sulfate,Cinoxacin,Moderate
Norethisterone,Tolbutamide,Moderate
Aurothioglucose,Cangrelor,No Interaction
Drotrecogin alfa,Tetrabenazine,No Interaction
Flucytosine,Piperacillin,No Interaction
Methylene blue,Rotigotine,No Interaction
Tolevamer,Magnesium oxide,Major
Mesalazine,Sulfamethizole,No Interaction
Desoximetasone (topical),Mirabegron,No Interaction
Proguanil,Vecuronium,No Interaction
Ergocalciferol,Ibuprofen,No Interaction
Chromium picolinate,Piperazine,No Interaction
Bethanechol,Norgestimate,No Interaction
Axicabtagene ciloleucel,Regadenoson,No Interaction
Ranitidine,Iopromide,Unknown
Ampicillin,Leucovorin,Unknown
Carteolol,Phenolphthalein,No Interaction
Emtricitabine,Estradiol (topical),No Interaction
Samarium (153Sm) lexidronam,Ponatinib,Major
Trimipramine,Promethazine,Moderate
Diatrizoate,Ifosfamide,Major
Saxagliptin,Sugammadex,No Interaction
Bictegravir,Chamomile,No Interaction
Clofarabine,Pyridostigmine,No Interaction
Foscarnet,Amifostine,Moderate
Oxazepam,Amyl Nitrite,Moderate
Pioglitazone,Iopromide,Unknown
Bisacodyl,Human immunoglobulin G (intravenous),No Interaction
Ethanol,Semaglutide,Moderate
Sulfinpyrazone,Cobicistat,Moderate
Hydrochlorothiazide,Diazoxide,Moderate
Cyanocobalamin,Kava,No Interaction
Rilpivirine,Typhoid vaccine (inactivated),No Interaction
Fosinopril,Potassium Iodide,Major
Ibritumomab tiuxetan,Ibuprofen,Major
Opium,Vancomycin,No Interaction
Alteplase,Ezogabine,No Interaction
Fingolimod,Oxaprozin,No Interaction
Piperazine,Raloxifene,No Interaction
Fluoxetine,Prednisolone,Unknown
Magnesium sulfate,Nifedipine,Moderate
Paramethadione,Pegfilgrastim,No Interaction
Cerivastatin,Levobunolol (ophthalmic),No Interaction
Risedronic acid,Acetylcysteine,Unknown
Lamotrigine,Opicapone,No Interaction
Isocarboxazid,Methylene blue,Major
Miglitol,Diazoxide,Moderate
Buspirone,Deferasirox,Moderate
Promethazine,Eslicarbazepine,Moderate
Magnesium sulfate,Magnesium gluconate,Moderate
Demecarium (ophthalmic),Sertraline,No Interaction
Meclofenamic acid,Iodipamide,Major
"Dextrose, unspecified form",Irinotecan (liposomal),No Interaction
Trihexyphenidyl,Physostigmine,Moderate
Carbinoxamine,Dolasetron,No Interaction
Folic acid,Mitoxantrone,Unknown
Phenytoin,Nitrous acid,Major
Triamterene,Nitrous acid,Moderate
Betaxolol,Salicylic acid (sodium),No Interaction
Triamcinolone (topical),Zidovudine,No Interaction
Levothyroxine,Ranitidine,No Interaction
Doxercalciferol,Ivermectin,No Interaction
Fenoprofen,Iodipamide,Major
Nelarabine,Pioglitazone,No Interaction
Timolol,Magnesium carbonate,Minor
Procarbazine,Strontium chloride Sr-89,Moderate
Ferrous gluconate,Warfarin,No Interaction
Iopanoic acid,Oxycodone,No Interaction
Oxaprozin,Iohexol,Major
Cromoglicic acid,Tinzaparin,No Interaction
Metolazone,Prednisolone,Moderate
Doxorubicin (liposomal),Promethazine,Moderate
Amphotericin B (liposomal),Canagliflozin,No Interaction
Delafloxacin,Lepirudin,No Interaction
Ibritumomab tiuxetan,Mefenamic acid,Major
Tositumomab,Chloramphenicol,Moderate
Carvedilol,Iohexol,Moderate
Prednisolone,Tolbutamide,Moderate
Phenazopyridine,Probenecid,No Interaction
Antilymphocyte immunoglobulin (horse),Ibuprofen,No Interaction
Ixabepilone,Strontium chloride Sr-89,Moderate
Cocaine (topical),Iobenguane (I-131),Major
Sufentanil,Prednisolone,Unknown
Colistimethate,Ioxilan,Major
Nadolol,Naloxone,No Interaction
Propranolol,Acetylcysteine,Unknown
Calcium acetate,Sarecycline,Moderate
Levothyroxine,Sevelamer,Moderate
Dextroamphetamine,Magnesium carbonate,Moderate
Flutamide,Nitrous acid,Major
Abametapir (topical),Glycerin,No Interaction
Megestrol acetate,Succinylcholine,No Interaction
Promethazine,Lenvatinib,Moderate
Ibritumomab tiuxetan,Lactobacillus acidophilus,Moderate
Ledipasvir,Meticillin,No Interaction
Alprazolam,Dapsone (topical),No Interaction
Leucovorin,Pioglitazone,Unknown
Clevidipine,Tiotropium,No Interaction
Heparin,Iodide I-123,Moderate
Azelastine (nasal),Calcifediol,No Interaction
Alendronic acid,Iron,No Interaction
Carisoprodol,Pralidoxime,No Interaction
Droxidopa,Ropivacaine,No Interaction
Potassium Iodide,Azilsartan medoxomil,Major
Cabazitaxel,Cangrelor,No Interaction
Furosemide,Tolbutamide,Moderate
Tositumomab (I-131),Hemin,Moderate
Urokinase,Tositumomab (I-131),Major
Leucovorin,Perindopril,Unknown
Patiromer,Sibutramine,No Interaction
Insulin glargine,Promethazine,Moderate
Phenobarbital,Nitrous acid,Major
Budesonide,Tryptophan,No Interaction
Mitotane,Cobicistat,Major
Magnesium sulfate,Atracurium,Moderate
Lactitol,Palifermin,No Interaction
Nystatin,Galactose,Unknown
Bedaquiline,Miconazole,No Interaction
Fenoprofen,Iopodic acid,No Interaction
Deferasirox,Binimetinib,Major
Pazopanib,Pirbuterol,No Interaction
Ketotifen,Tretinoin,No Interaction
Atenolol,Levocarnitine,No Interaction
Sulfasalazine,Nitrous acid,Major
Ethanol,Leflunomide,Major
Fenoldopam,Promethazine,Moderate
Folic acid,Haloperidol,Unknown
Cefoperazone,Hemin,No Interaction
Ibritumomab tiuxetan,Alemtuzumab,Moderate
Eliglustat,Zaleplon,No Interaction
Lorazepam,Flumazenil,Moderate
Mannitol,Calcium chloride,Unknown
Doxycycline,Magnesium sulfate,Moderate
Ferric derisomaltose,Solifenacin,No Interaction
Rabeprazole,Thallous Chloride,No Interaction
Cyclobenzaprine,Tetracycline,No Interaction
Calcium carbonate,Strontium chloride Sr-89,Moderate
Nadolol,Gadoxetic acid,Moderate
Mannitol,Mitoxantrone,Unknown
Exenatide,Sitagliptin,No Interaction
Aminolevulinic acid (topical),Macitentan,No Interaction
Azelastine (nasal),Furosemide,No Interaction
Sevelamer,Thalidomide,Unknown
Sevelamer,Liotrix,Moderate
Turmeric,Ulipristal,No Interaction
Galantamine,Promethazine,Moderate
Phentolamine,Opium,Moderate
Chlordiazepoxide,Silver nitrate (ophthalmic),No Interaction
Ivermectin,Nitric Oxide,No Interaction
Lidocaine (topical),Meropenem,No Interaction
Flumazenil,Levamlodipine,No Interaction
Insulin human (isophane),Ritodrine,No Interaction
Methyl aminolevulinate (topical),Olsalazine,No Interaction
Telmisartan,Amifostine,Moderate
Deferiprone,Calcium gluconate,Moderate
Streptokinase,Deferasirox,Major
Isometheptene,Methylene blue,Major
Darolutamide,Thiotepa,No Interaction
Nitrazepam,Pimecrolimus (topical),No Interaction
Pralsetinib,Valbenazine,No Interaction
Deutetrabenazine,Tiludronic acid,No Interaction
Alendronic acid,Sevelamer,Unknown
Tolbutamide,Enfortumab vedotin,Moderate
Midazolam,Flumazenil,Moderate
Thiopental,Zinc sulfate,No Interaction
Vancomycin,Ioversol,Major
Oxymorphone,Methylene blue,Major
Atenolol,Fluorouracil,No Interaction
Magnesium carbonate,Iron protein succinylate,Moderate
Galantamine,Vancomycin,No Interaction
Interferon beta-1a,Iopamidol,Major
Pimozide,Iopamidol,Major
Sarecycline,Tetraferric tricitrate decahydrate,Moderate
Ferrous fumarate,Nebivolol,No Interaction
Tositumomab (I-131),Cladribine,Major
Pegfilgrastim,Pitavastatin,No Interaction
Cabergoline,Pralsetinib,No Interaction
Clorazepic acid,Iodide I-123,Moderate
Olanzapine,Tamoxifen,No Interaction
Trovafloxacin,Iohexol,Major
Pitolisant,Rufinamide,No Interaction
Gefitinib,Promethazine,Unknown
Ibritumomab tiuxetan,Tipranavir,Major
Dutasteride,Flavoxate,No Interaction
Amyl Nitrite,Amisulpride,Moderate
Acyclovir,Valproic acid,No Interaction
Promethazine,Diphenhydramine,Moderate
Deferiprone,Niraparib,Major
Trandolapril,Potassium Iodide,Major
Labetalol,Iothalamic acid,Moderate
Iopanoic acid,Pasireotide,No Interaction
Acebutolol,Ioversol,Moderate
Lurbinectedin,Mepyramine,No Interaction
Sotalol,Methacholine,Major
Sermorelin,Vorinostat,No Interaction
Iothalamic acid,Palifermin,No Interaction
Ciclopirox,Pasireotide,No Interaction
Atropine,Echothiophate (ophthalmic),No Interaction
Promethazine,Ambrisentan,Unknown
Almotriptan,Thiopental,No Interaction
Flibanserin,Oxtriphylline,No Interaction
Magnesium sulfate,Irinotecan (liposomal),Moderate
Darifenacin,Edrophonium,Moderate
Diazoxide,Opium,Moderate
Magnesium sulfate,Plazomicin,Major
Atorvastatin,Iopromide,Unknown
Glecaprevir,Sermorelin,No Interaction
Antilymphocyte immunoglobulin (horse),Loteprednol (ophthalmic),No Interaction
Asenapine,Sodium ferric gluconate complex,No Interaction
Astemizole,Econazole,No Interaction
Diazoxide,Insulin degludec,Moderate
Daunorubicin (liposomal),Samarium (153Sm) lexidronam,Major
Betaxolol,Tinidazole,No Interaction
Methionine,Mexiletine,Minor
Solriamfetol,Vorapaxar,No Interaction
Homatropine,Piroxicam,No Interaction
Fludeoxyglucose (18F),Methylcellulose,Moderate
Flurazepam,Phentolamine,Moderate
Doxacurium,Encorafenib,No Interaction
Succinylcholine,Vorinostat,No Interaction
Orphenadrine,Sarilumab,No Interaction
Levofloxacin,Magnesium glycinate,No Interaction
Mumps virus strain B level jeryl lynn live antigen,Ropivacaine,No Interaction
Isoniazid,Rofecoxib,No Interaction
Physostigmine (ophthalmic),Phenyltoloxamine,Moderate
Fedratinib,Valproic acid,No Interaction
"Dextrose, unspecified form",Fludeoxyglucose (18F),Moderate
Bretylium,Cytarabine,No Interaction
Eszopiclone,Deferasirox,Moderate
Physostigmine,Sodium sulfate,Moderate
Ritonavir,Prednisolone (ophthalmic),Moderate
Palifermin,Omacetaxine mepesuccinate,Moderate
Methyl aminolevulinate (topical),Tolbutamide,Moderate
Medroxyprogesterone acetate,Cobicistat,Moderate
Mazindol,Methylene blue,Major
Diphenoxylate,Fluoxymesterone,No Interaction
Regorafenib,Cobicistat,Moderate
Almotriptan,Naloxone,No Interaction
St. John's Wort,Macimorelin,Moderate
Tositumomab (I-131),Heparin,Major
Metoclopramide,Rilpivirine,No Interaction
Ethambutol,Tiludronic acid,No Interaction
Lactulose,Fludeoxyglucose (18F),Moderate
Mannitol,Picosulfuric acid,Moderate
Danazol,Mifepristone,No Interaction
Tobramycin,Iopromide,Major
Zidovudine,Deferiprone,Major
Mannitol,Cefepime,Unknown
Oxytetracycline,Magnesium sulfate,Moderate
Insulin human,Prednisolone,Moderate
Promethazine,Bupropion,Major
Misoprostol,Porfimer sodium,No Interaction
Folic acid,Captopril,Unknown
Betrixaban,Ethionamide,No Interaction
Phenazopyridine,Sodium cellulose phosphate,No Interaction
Tolbutamide,"Thyroid, porcine",Moderate
Prasugrel,Vortioxetine,No Interaction
Eltrombopag,Methylcellulose,No Interaction
Lepirudin,Iodide I-123,Moderate
Methoxsalen,Vitamin A,No Interaction
Leucovorin,Isosorbide mononitrate,Unknown
Ibritumomab tiuxetan,Citalopram,Moderate
Amantadine,Frangula purshiana bark,No Interaction
Bexarotene,Flurbiprofen (ophthalmic),No Interaction
Flurbiprofen (ophthalmic),Lurasidone,No Interaction
Prednisolone,Triazolam,Minor
Anakinra,Ibritumomab tiuxetan,Moderate
Iopamidol,Zaleplon,No Interaction
Benzocaine (topical),Diroximel fumarate,No Interaction
Albendazole,Iodide I-131,Moderate
Fosinopril,Amifostine,Moderate
Budesonide,Acetylcysteine,Unknown
Dipyridamole,Teriflunomide,No Interaction
Diatrizoate,Etacrynic acid,Moderate
Diazepam,Ethanol,Moderate
Ambrisentan,Choline salicylate,No Interaction
Diiodohydroxyquinoline,Sulindac,No Interaction
Atropine (ophthalmic),Sulfamethoxazole,No Interaction
Bosutinib,Omadacycline,No Interaction
Leuprolide,Methylprednisolone,No Interaction
Vincristine,Acetylcysteine,Unknown
Promethazine,Cyclizine,Moderate
Empagliflozin,Metyrosine,No Interaction
Bupropion,Iopromide,Unknown
Amiodarone,Tolevamer,Major
Diazoxide,Lixisenatide,Moderate
Ketoprofen,Sipuleucel-T,No Interaction
Trimethaphan,Amifostine,Moderate
Eszopiclone,Cobicistat,Major
Tryptophan,Methylene blue,Major
Osilodrostat,Reteplase,No Interaction
Phentolamine,Bupropion,Moderate
Dichloralphenazone,Esketamine,No Interaction
Ketorolac,Iopromide,Major
Thiotepa,Samarium (153Sm) lexidronam,Major
Labetalol,Omeprazole,No Interaction
Tobramycin,Ioversol,Major
Iopromide,Lithium carbonate,Major
Ruxolitinib,Zanubrutinib,No Interaction
Monomethyl fumarate,Rilpivirine,No Interaction
Ocrelizumab,Trastuzumab deruxtecan,No Interaction
Calcitriol (topical),Quinine,No Interaction
Digoxin Immune Fab (Ovine),Entrectinib,No Interaction
Melphalan,Voxilaprevir,No Interaction
Cinchocaine (topical),Cladribine,No Interaction
Sodium iodide,Tazemetostat,No Interaction
Miconazole,Naltrexone,No Interaction
Gadoteridol,Pregabalin,No Interaction
Dactinomycin,Orciprenaline,No Interaction
Amiodarone,Iodixanol,Moderate
Mumps virus strain B level jeryl lynn live antigen,Progesterone,No Interaction
Amrinone,Paliperidone,No Interaction
Iron,Zolpidem,No Interaction
Folic acid,Clopidogrel,Unknown
Capromab pendetide,Nilutamide,Moderate
Chlorpromazine,Physostigmine,Moderate
Carisoprodol,Testosterone,No Interaction
Lemborexant,Sildenafil,No Interaction
Bacitracin,Rolapitant,No Interaction
Perindopril,Magnesium carbonate,Minor
Lindane,Mesoridazine,No Interaction
Mannitol,Perindopril,Moderate
Sulfamethoxazole,Tolbutamide,Moderate
Benzphetamine,Procainamide,No Interaction
Timolol,Ioversol,Moderate
Troglitazone,Deferasirox,Moderate
Bictegravir,Cyproheptadine,No Interaction
Iobenguane (I-131),Ocrelizumab,Moderate
Chlorphenesin,Diazoxide,No Interaction
Inulin,Tiludronic acid,No Interaction
Solriamfetol,Teriflunomide,No Interaction
Palifermin,Ruxolitinib,Moderate
Polymyxin B,Iopamidol,Major
Amifostine,Coccidioides immitis spherule,No Interaction
Nabilone,Rotavirus vaccine,No Interaction
Olaparib,Peginterferon beta-1a,No Interaction
Amphotericin B (lipid complex),Lansoprazole,No Interaction
Ibritumomab tiuxetan,Antithrombin Alfa,Major
Phenylbutazone,Iohexol,Major
Imipramine,Deferasirox,Moderate
Pantoprazole,Galactose,Unknown
Magnesium sulfate,Prednisolone,Moderate
Frovatriptan,Tucatinib,No Interaction
Phentolamine,Empagliflozin,Moderate
Dimercaprol,Ferric derisomaltose,Major
Dantrolene,Gatifloxacin,No Interaction
Rolapitant,Vorinostat,No Interaction
Oxaliplatin,Deferasirox,Moderate
Prednisolone,Echinacea,Minor
Lansoprazole,Tolevamer,Moderate
Metoprolol,Ethanol,Moderate
Caffeine,Sibutramine,No Interaction
Montelukast,Vincristine,No Interaction
Piroxicam,Risperidone,No Interaction
Lamotrigine,Acetylcysteine,Unknown
Tositumomab,Pentosan polysulfate,Moderate
Epoprostenol,Palifermin,No Interaction
Carteolol (ophthalmic),Ubrogepant,No Interaction
Felodipine,Promethazine,Moderate
Valdecoxib,Macimorelin,Moderate
Melatonin,Phenoxymethylpenicillin,No Interaction
Albendazole,Mefloquine,No Interaction
Folic acid,Cytarabine,Unknown
Nalidixic acid,Siltuximab,No Interaction
Interferon beta-1b,Umeclidinium,No Interaction
Iobenguane (I-131),Remdesivir,Moderate
Fluorouracil,Acetylcysteine,Unknown
Fluconazole,Mannitol,Unknown
Prednisolone,Clarithromycin,Moderate
Benzhydrocodone,Olopatadine,No Interaction
Frangula purshiana bark,Olaratumab,No Interaction
Chlorothiazide,Tolbutamide,Moderate
Dipyridamole,Tolbutamide,Unknown
Atomoxetine,Butabarbital,No Interaction
Mesalazine,Palifermin,No Interaction
Gemfibrozil,Voxilaprevir,No Interaction
Nitrous acid,Zalcitabine,No Interaction
Tiludronic acid,Tripelennamine,No Interaction
Acetylcysteine,Dopamine,No Interaction
Magnesium gluconate,Polyethylene glycol (3350 with electrolytes),No Interaction
Amphotericin B (liposomal),Polatuzumab vedotin,No Interaction
Clorazepic acid,Deferasirox,Moderate
Grazoprevir,Umeclidinium,No Interaction
Morphine,Diazoxide,Moderate
Diazoxide,Lofexidine,Moderate
Leucovorin,Irbesartan,Unknown
Etacrynic acid,Lasmiditan,No Interaction
Bosentan,Deferasirox,Moderate
Rosuvastatin,Ioversol,Unknown
Calcium gluconate,Retapamulin (topical),No Interaction
Sirolimus,Cobicistat,Major
Isoetharine,Methylene blue,Moderate
Promazine,Ethanol,Moderate
Homatropine,Plazomicin,No Interaction
Prednisolone,Monomethyl fumarate,Moderate
Linagliptin,Penbutolol,No Interaction
Deferoxamine,Ioxilan,Major
Temozolomide,Samarium (153Sm) lexidronam,Major
Epoprostenol,Irinotecan,No Interaction
Abemaciclib,Perphenazine,No Interaction
Sucralfate,Acetylcysteine,Unknown
Vitamin A,Zolpidem,Unknown
Ferric carboxymaltose,Phenylephrine (topical),No Interaction
Anthrax vaccine,Azithromycin,No Interaction
Aminolevulinic acid (topical),Dexlansoprazole,No Interaction
Secobarbital,Phentolamine,Moderate
Diatrizoate,Sacubitril,No Interaction
Ibritumomab tiuxetan,Vibrio cholerae CVD 103-HgR strain live antigen (live),Moderate
Coenzyme M,Pralatrexate,No Interaction
Tiludronic acid,Iron sucrose,Moderate
Gadoversetamide,Hydroxocobalamin,No Interaction
Deferiprone,Ponatinib,Major
Doxapram,Etodolac,No Interaction
Glycerol phenylbutyrate,Minoxidil (topical),No Interaction
Omeprazole,Tolevamer,Moderate
Glycerin,Human Rho(D) immune globulin,No Interaction
Cyanocobalamin,Propylhexedrine (nasal),No Interaction
Temsirolimus,Cobicistat,Major
Minoxidil,Amifostine,Moderate
Indium In-111 pentetate,Nintedanib,No Interaction
Inotuzumab ozogamicin,Strontium chloride Sr-89,Moderate
Abiraterone,Macimorelin,Major
Salicylic acid (sodium),Macimorelin,Moderate
Bromocriptine,Paramethadione,No Interaction
Desvenlafaxine,Vibrio cholerae CVD 103-HgR strain live antigen (live),No Interaction
Ferric derisomaltose,Salicylic acid (sodium),No Interaction
Ranitidine (bismuth citrate),Sitagliptin,No Interaction
Folic acid,Testosterone,Unknown
Indomethacin,Magnesium carbonate,Minor
Doxycycline,Phenyltoloxamine,No Interaction
Neomycin,Iopromide,Major
Metoclopramide,Cobicistat,Moderate
Betaxolol (ophthalmic),Gadofosveset trisodium,Moderate
Desoximetasone (topical),Erlotinib,No Interaction
Cabozantinib,Cobicistat,Major
Lenalidomide,Deferiprone,Major
Acitretin,Cefaclor,No Interaction
Brompheniramine,Methyl aminolevulinate (topical),No Interaction
Demeclocycline,Tetraferric tricitrate decahydrate,Moderate
Ethanol,Remimazolam,Moderate
Pyrimethamine,Deferiprone,Major
Amlodipine,Pimavanserin,No Interaction
Sevelamer,Levetiracetam,Unknown
Promethazine,Valbenazine,Moderate
Clomipramine,Deferasirox,Moderate
Lemborexant,Levoleucovorin,No Interaction
Isradipine,Gadopentetic acid,Moderate
Vitamin A,Atenolol,Unknown
Linaclotide,Trimethadione,No Interaction
Human Rho(D) immune globulin,Vibrio cholerae CVD 103-HgR strain live antigen,No Interaction
Chlordiazepoxide,Flumazenil,Moderate
Fomepizole,Tetracosactide,No Interaction
Levamlodipine,Risedronic acid,No Interaction
Risperidone,Macimorelin,Major
Abemaciclib,Perflutren,No Interaction
Prednisolone,Hydroxyurea,Unknown
Bacitracin,Iohexol,Major
Lurasidone,Uracil mustard,No Interaction
Metoprolol,Gadopentetic acid,Moderate
Polymyxin B,Ioxilan,Major
Bismuth subsalicylate,Cefoperazone,No Interaction
Perflutren,Macimorelin,Moderate
Gefitinib,Cobicistat,Moderate
Diatrizoate,Ibandronate,Major
Amisulpride,Hydrochlorothiazide,No Interaction
Benzylpenicillin (potassium),Iodide I-131,Moderate
Binimetinib,Capecitabine,No Interaction
Fenoprofen,Iohexol,Major
Iron sucrose,Sunitinib,No Interaction
Cefiderocol,Mazindol,No Interaction
Aminolevulinic acid,Pramlintide,No Interaction
Selinexor,Sildenafil,No Interaction
Piroxicam,Prednisolone,Moderate
Cocaine (nasal),Melphalan,No Interaction
Meloxicam,Trastuzumab deruxtecan,No Interaction
Everolimus,Mechlorethamine,No Interaction
Temazepam,Prednisolone,Unknown
Prednisolone,Indacaterol,Minor
Propiomazine,Thioridazine,No Interaction
Clofarabine,Doxylamine,No Interaction
Epinephrine (ophthalmic),Indium In-111 oxyquinoline,No Interaction
Capmatinib,Ferric derisomaltose,No Interaction
Carbenicillin,Clobetasol (topical),No Interaction
Bacillus calmette-guerin substrain tice live antigen,Xylometazoline (nasal),No Interaction
Mefloquine,Iohexol,Major
Valsartan,Leucovorin,Unknown
Cobicistat,Deflazacort,Major
Doxepin (topical),Methylene blue,Major
Diclofenac,Iothalamic acid,Major
Methylprednisolone,Tolbutamide,Moderate
Mannitol,Ioxilan,Moderate
Physostigmine (ophthalmic),Promethazine,Moderate
Alosetron,Pasireotide,No Interaction
Loperamide,Trimetrexate,No Interaction
Phylloquinone,Galactose,Unknown
Enzalutamide,Mepenzolate,No Interaction
Nateglinide,Tubocurarine,No Interaction
Tolbutamide,Dexamethasone (topical),Minor
Calcium citrate,Hemin,No Interaction
Prednisolone (ophthalmic),Ceritinib,Moderate
Carbinoxamine,Iobenguane (I-131),No Interaction
Nitroglycerin,Mannitol,Unknown
Trihexyphenidyl,Physostigmine (ophthalmic),Moderate
Hydroxocobalamin,Sertraline,Unknown
Vincristine,Cobicistat,Major
Iohexol,Lumateperone,Major
Daptomycin,Iobenguane (I-131),Moderate
Clofarabine,Strontium chloride Sr-89,Moderate
Desoximetasone (topical),Dexamethasone (ophthalmic),No Interaction
Rapacuronium,Streptomycin,No Interaction
Strontium chloride Sr-89,Brexucabtagene autoleucel,Moderate
Desirudin,Mirabegron,No Interaction
Atracurium,Epirubicin,No Interaction
Tositumomab (I-131),Fondaparinux,Major
Bosutinib,Drotrecogin alfa,No Interaction
Ethanol,Chlorpheniramine,Moderate
Dulaglutide,Valaciclovir,No Interaction
Mercaptopurine,Oxaprozin,No Interaction
Mogamulizumab,Nicardipine,No Interaction
Sirolimus,Iopamidol,Major
Methscopolamine,Quinestrol,No Interaction
Deferiprone,Typhoid vaccine (live),No Interaction
Estramustine,Liraglutide,No Interaction
Enoxaparin,Iodide I-131,Moderate
Tetrabenazine,Methylene blue,Major
Disulfiram,Sacituzumab govitecan,No Interaction
Prochlorperazine,Leucovorin,Unknown
Vitamin A,Clobetasol,Unknown
Ondansetron,Tolevamer,No Interaction
Durvalumab,Furosemide,No Interaction
Acebutolol,Gadobutrol,Moderate
Phentolamine,Insulin glulisine,Minor
Daunorubicin (liposomal),Ethionamide,No Interaction
Lutetium Lu 177 dotatate,Tiagabine,No Interaction
Diatrizoate,Cidofovir,Major
Tafamidis,Thallous Chloride,No Interaction
Rifampicin,Macimorelin,Moderate
Nabumetone,Prednisolone,Moderate
Tositumomab (I-131),Ibrutinib,Major
"Thyroid, porcine",Magnesium carbonate,Moderate
Simvastatin,Tolbutamide,Unknown
Didanosine,Drotrecogin alfa,No Interaction
Hydroxocobalamin,Sodium ferric gluconate complex,No Interaction
Calcium acetate,Diltiazem,Moderate
Amitriptyline,Ifosfamide,No Interaction
Lofexidine,Tafenoquine,No Interaction
Iobenguane (I-131),Measles virus vaccine live attenuated,Major
Paroxetine,Tolbutamide,Moderate
Edoxaban,Metformin,No Interaction
Lorcaserin,Methylene blue,Major
Entrectinib,Voxilaprevir,No Interaction
Efavirenz,Glasdegib,No Interaction
Vardenafil,Nitrous acid,Moderate
Diazoxide,Epoprostenol,Moderate
Fluticasone,Medroxyprogesterone acetate,No Interaction
Empagliflozin,Lactulose,No Interaction
Levamisole,Samarium (153Sm) lexidronam,Major
Amrinone,Opicapone,No Interaction
Methdilazine,Tryptophan,No Interaction
Calcium acetate,Dolutegravir,Major
Methotrexate,Paricalcitol,No Interaction
Prednisolone (ophthalmic),Fedratinib,Moderate
Ciprofloxacin,Magnesium carbonate,Moderate
Erythromycin,Metamfetamine,No Interaction
Potassium citrate,Ripretinib,No Interaction
Cisplatin,Tolterodine,No Interaction
Prednisolone,Cefazolin,Unknown
Tolbutamide,Quinestrol,Moderate
Sulfamethizole,Iodide I-123,Moderate
Pantoprazole,Amifostine,Unknown
Haloperidol,Relugolix,No Interaction
Pazopanib,Strontium chloride Sr-89,Moderate
Colistimethate,Iodipamide,Major
Lovastatin,Prednisolone,Unknown
Amikacin,Ferric carboxymaltose,No Interaction
Carbamazepine,Levoleucovorin,Moderate
Celecoxib,Iopamidol,Major
Promethazine,Levosalbutamol,Moderate
Promethazine,Lofexidine,Moderate
Brimonidine,Ergoloid mesylate,No Interaction
Flurbiprofen (ophthalmic),Zinc gluconate,No Interaction
